step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
622,0.23828,0.91206,,
623,0.33345,0.88592,,
624,0.33097,0.88964,,
625,0.29395,0.90937,,
626,0.28896,0.91254,,
627,0.378,0.89506,,
628,0.33481,0.88995,,
629,0.39848,0.8699,,
630,0.29669,0.87772,,
631,0.37268,0.87347,,
632,0.48549,0.84795,,
633,0.37247,0.86713,,
634,0.23217,0.91241,,
635,0.29017,0.90845,,
636,0.42666,0.84422,,
637,0.2048,0.91724,,
638,0.25205,0.90488,,
639,0.24382,0.91287,,
640,0.28377,0.90323,,
641,0.27858,0.91628,,
642,0.14788,0.95105,,
643,0.32297,0.87366,,
644,0.28349,0.90312,,
645,0.28609,0.88679,,
646,0.05875,0.98649,,
647,0.39649,0.87707,,
648,0.26823,0.90925,,
649,0.36668,0.88106,,
650,0.63536,0.81605,,
651,0.16772,0.94395,,
652,0.27542,0.90956,,
653,0.37839,0.88945,,
654,0.25857,0.91892,,
655,0.24836,0.89556,,
656,0.42611,0.84783,,
657,0.17331,0.9413,,
658,0.59178,0.84665,,
659,0.31427,0.89573,,
660,0.20624,0.96,,
661,0.25434,0.91536,,
662,0.11403,0.96575,,
663,0.35602,0.87601,,
664,0.45556,0.83662,,
665,0.39303,0.87702,,
666,0.19742,0.93939,,
667,0.21816,0.91831,,
668,0.27042,0.90143,,
669,0.26956,0.89256,,
670,0.33391,0.88612,,
671,0.54057,0.8435,,
672,0.42306,0.86667,,
673,0.74235,0.76471,,
674,0.45764,0.88076,,
675,0.22922,0.91489,,
676,0.41936,0.86458,,
677,0.30954,0.88862,,
678,0.56947,0.82051,,
679,0.2612,0.90625,,
680,0.43684,0.84062,,
681,0.23368,0.92529,,
682,0.26542,0.89495,,
683,0.36573,0.87955,,
684,0.25492,0.91279,,
685,0.35403,0.88707,,
686,0.37218,0.88041,,
687,0.33948,0.88534,,
688,0.28523,0.90741,,
689,0.31426,0.88616,,
690,0.31937,0.89292,,
691,0.42951,0.86945,,
692,0.28511,0.90323,,
693,0.34408,0.87813,,
694,0.23151,0.92478,,
695,0.3701,0.88302,,
696,0.26863,0.90135,,
697,0.37894,0.8652,,
698,0.20328,0.94118,,
699,0.32286,0.86458,,
700,0.27484,0.91351,0.7377,0.80039
701,0.36646,0.88793,,
702,0.63412,0.79661,,
703,0.25367,0.90452,,
704,0.44184,0.87648,,
705,0.3026,0.896,,
706,0.26001,0.90827,,
707,0.29709,0.88981,,
708,0.29446,0.90346,,
709,0.42283,0.86082,,
710,0.29452,0.89819,,
711,0.40709,0.87634,,
712,0.13266,0.95824,,
713,0.51764,0.87421,,
714,0.21227,0.91429,,
715,0.24829,0.91041,,
716,0.20181,0.92945,,
717,0.32884,0.89855,,
718,0.64851,0.82083,,
719,0.25987,0.91493,,
720,0.44342,0.8732,,
721,0.3142,0.88848,,
722,0.32919,0.88612,,
723,0.25643,0.92991,,
724,0.32511,0.90257,,
725,0.46324,0.86486,,
726,0.30215,0.8959,,
727,0.30118,0.88559,,
728,0.20368,0.91111,,
729,0.29415,0.89358,,
730,0.30283,0.8968,,
731,0.23344,0.91897,,
732,0.19712,0.94093,,
733,0.31532,0.88112,,
734,0.58878,0.81571,,
735,0.21497,0.92877,,
736,0.33815,0.86731,,
737,0.25182,0.91784,,
738,0.3257,0.87456,,
739,0.29497,0.90547,,
740,0.3944,0.86267,,
741,0.30844,0.89354,,
742,0.33538,0.89195,,
743,0.30118,0.88139,,
744,0.33098,0.875,,
745,0.29953,0.89062,,
746,0.32297,0.88697,,
747,0.43393,0.88945,,
748,0.43327,0.84255,,
749,0.3733,0.86892,,
750,0.26164,0.91039,,
751,0.31235,0.90164,,
752,0.30904,0.8785,,
753,0.34334,0.88797,,
754,0.24324,0.91474,,
755,0.3014,0.89908,,
756,0.64255,0.81155,,
757,0.37328,0.86486,,
758,0.22994,0.91429,,
759,0.2376,0.91098,,
760,0.40118,0.87097,,
761,0.76793,0.75899,,
762,0.46727,0.85945,,
763,0.20074,0.91371,,
764,0.24952,0.93103,,
765,0.22585,0.9061,,
766,0.26841,0.90499,,
767,0.31875,0.88402,,
768,0.24117,0.91241,,
769,0.43312,0.85372,,
770,0.27095,0.91087,,
771,0.21545,0.92653,,
772,0.21257,0.93462,,
773,0.31447,0.88364,,
774,0.34597,0.88931,,
775,0.44513,0.83945,,
776,0.27301,0.89933,,
777,0.22694,0.92754,,
778,0.51063,0.836,,
779,0.11206,0.98851,,
780,0.25442,0.92467,,
781,0.74979,0.77778,,
782,0.36713,0.87136,,
783,0.22794,0.92557,,
784,0.36965,0.87109,,
785,0.35038,0.89372,,
786,0.51296,0.81352,,
787,0.28599,0.89552,,
788,0.27532,0.91047,,
789,0.36298,0.87077,,
790,0.4169,0.86441,,
791,0.20625,0.9243,,
792,0.3677,0.87603,,
793,0.29979,0.89817,,
794,0.35491,0.8775,,
795,0.27038,0.91529,,
796,0.48868,0.85669,,
797,0.30302,0.90215,,
798,0.28007,0.90429,,
799,0.38659,0.86825,,
800,0.29233,0.93878,0.75618,0.79962
801,0.25787,0.91932,,
802,0.40116,0.87603,,
803,0.40619,0.8764,,
804,0.24853,0.89823,,
805,0.26275,0.90323,,
806,0.35335,0.8828,,
807,0.3053,0.88292,,
808,0.30409,0.90536,,
809,0.3656,0.86018,,
810,0.31298,0.87613,,
811,0.42294,0.85515,,
812,0.2014,0.93878,,
813,0.25635,0.91075,,
814,0.26139,0.91283,,
815,0.32692,0.88468,,
816,0.23548,0.928,,
817,0.41563,0.89796,,
818,0.26174,0.89948,,
819,0.20044,0.93939,,
820,0.35089,0.87665,,
821,0.36386,0.89139,,
822,0.36786,0.875,,
823,0.26097,0.90476,,
824,0.39967,0.87199,,
825,0.17382,0.93926,,
826,0.24161,0.91512,,
827,0.14641,0.95187,,
828,0.29966,0.89684,,
829,1.09843,0.74576,,
830,0.31017,0.88649,,
831,0.31801,0.87909,,
832,0.26286,0.89748,,
833,0.29486,0.91053,,
834,0.3871,0.87565,,
835,0.32171,0.8962,,
836,0.32188,0.87524,,
837,0.15149,0.95322,,
838,0.13977,0.95017,,
839,0.13264,0.96815,,
840,0.1923,0.92664,,
841,0.27481,0.89706,,
842,0.33515,0.89258,,
843,0.24349,0.90608,,
844,0.25136,0.90761,,
845,0.19462,0.93165,,
846,0.28595,0.90602,,
847,0.26349,0.90556,,
848,0.28341,0.89603,,
849,0.25976,0.90814,,
850,0.25906,0.9194,,
851,0.3225,0.90237,,
852,0.23978,0.93464,,
853,0.29003,0.91281,,
854,0.24048,0.91758,,
855,0.33678,0.89254,,
856,0.36837,0.8902,,
857,0.39555,0.87545,,
858,0.3537,0.90591,,
859,0.25877,0.91886,,
860,0.34989,0.86753,,
861,0.48304,0.87195,,
862,0.32296,0.8845,,
863,0.29889,0.89235,,
864,0.29885,0.90244,,
865,0.49948,0.84492,,
866,0.41765,0.87194,,
867,0.29628,0.92353,,
868,0.30979,0.88793,,
869,0.26681,0.90563,,
870,0.26563,0.90882,,
871,0.456,0.86262,,
872,0.2713,0.91811,,
873,0.29931,0.88832,,
874,0.29606,0.89644,,
875,0.30536,0.875,,
876,0.22985,0.9157,,
877,0.27042,0.89565,,
878,0.26856,0.91391,,
879,0.31844,0.89484,,
880,0.54871,0.84861,,
881,0.30152,0.87968,,
882,0.25327,0.9113,,
883,0.31075,0.86581,,
884,0.35921,0.89302,,
885,0.308,0.88682,,
886,0.26811,0.91477,,
887,0.33547,0.88938,,
888,0.30489,0.91268,,
889,0.29215,0.90461,,
890,0.20548,0.94333,,
891,0.42642,0.86313,,
892,0.2956,0.91182,,
893,0.31182,0.89458,,
894,0.50854,0.85511,,
895,0.36075,0.87547,,
896,0.19228,0.93407,,
897,0.32386,0.88328,,
898,0.27526,0.91087,,
899,0.35019,0.87651,,
900,0.2424,0.91602,0.88221,0.77308
901,0.37493,0.87372,,
902,0.38545,0.86842,,
903,0.34455,0.88889,,
904,0.40569,0.88451,,
905,0.32727,0.8867,,
906,0.21564,0.92389,,
907,0.20667,0.96635,,
908,0.36997,0.87833,,
909,0.27186,0.90203,,
910,0.23007,0.92233,,
911,0.19319,0.92271,,
912,0.27129,0.90738,,
913,0.3107,0.89249,,
914,0.31247,0.90459,,
915,0.24785,0.89663,,
